Cod_Proyecto|Construccion|Materiales|SistConstruc|ElemConstruc|ProcConstruc|ProdConstruc|AguaPotable|AguaServidas|Basura|DispExcretas|BioEnerRenov|Saneamiento|EnergiasAlternas|RedesSistemas|SistemasInformacionC|RedesDistAgua|SistemasInformacionA|Eolica|Solar|Fotovoltaica|Biogas|Biodisel|Biocombustibles|Hidraulica|Geotermica|Biomasa|SistemasInformacionE
PE009IIP10T00|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
PE025IIP02T00|False|False|False|False|False|False|True|False|False|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
PE028IIP03T01|False|False|False|False|False|False|True|False|False|False|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
PE040IIIP01T01|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|True|True|False|False|False|False
PE041IIP01T01|False|False|False|False|False|True|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
PE205I-II-IVP01T00|True|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
PE213I-IIP01T00|True|False|False|False|False|True|False|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
PE246II-IIIP02T01|False|False|False|False|False|False|False|False|True|False|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False
SU002III-IVP00T00|False|False|False|False|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|True|False|False|False|True
SU307IIIP01T00|False|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|True|False|False|False|False
VE029IIP01T01|False|False|False|False|False|False|False|False|False|True|False|True|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False
VE073IIIP00T01-02-03-04-05|False|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|True|True|True|False|True|True|False|False|False|False
VE105I-IVP01T00|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE123IIIP04T01|False|False|False|False|False|True|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE123IIIP05T01|False|False|False|False|False|False|False|False|False|False|True|True|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False
VE123IIIP06T01|True|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE123IIP02T01|True|False|False|False|False|True|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE123IIP03T01|False|False|False|False|False|True|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE123IP01T01|True|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE124I-II-IIIP01T02|True|True|True|True|True|True|True|False|True|True|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE124I-II-IIIP0IT00|True|True|True|True|True|True|True|True|True|True|True|True|True|True|False|True|True|True|True|True|True|True|True|True|False|False|False
VE124IP02T00|True|True|True|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE125IP01T00|True|False|True|False|False|True|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False
VE126IIP03T00|False|False|False|False|False|False|False|False|False|False|False|True|False|True|False|True|True|False|False|False|False|False|False|False|False|False|False
VE126IP01T00|True|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE126IP02T00|True|False|False|False|True|True|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False
VE127I-IIP01T00|True|False|False|False|True|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE127IIP02T00|False|False|False|False|False|False|False|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE127IIP03T00|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE128IP01T01|True|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE129IP01T00|True|True|True|False|True|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False
VE130I-IIP01T00|True|False|False|False|True|True|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE131IP01T00|True|True|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
VE132IP01T00|True|True|False|True|False|True|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False
VE132IP02T00|True|True|False|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
